micromolecule_1_id,micromolecule_2_id,propensity
1,1,-4.40
1,2,-1.77
1,3,-0.37
1,4,0.91
1,5,0.14
1,6,1.42
1,7,1.33
1,8,0.70
1,9,-0.89
1,10,-1.53
1,11,-0.51
1,12,-0.41
1,13,0.77
1,14,-0.25
1,15,1.25
1,16,1.08
1,17,1.59
1,18,-0.54
1,19,-0.08
1,20,0.21
2,1,-1.77
2,2,-0.52
2,3,2.77
2,4,2.30
2,5,3.00
2,6,3.37
2,7,2.13
2,8,1.72
2,9,1.71
2,10,0.39
2,11,1.22
2,12,2.57
2,13,2.84
2,14,1.46
2,15,2.47
2,16,2.59
2,17,1.90
2,18,1.69
2,19,1.13
2,20,1.21
3,1,-0.37
3,2,2.77
3,3,4.03
3,4,5.32
3,5,4.86
3,6,5.77
3,7,3.15
3,8,3.46
3,9,3.12
3,10,1.41
3,11,2.50
3,12,4.20
3,13,4.59
3,14,2.93
3,15,4.19
3,16,4.88
3,17,4.99
3,18,2.31
3,19,1.40
3,20,2.07
4,1,0.91
4,2,2.30
4,3,5.32
4,4,6.02
4,5,5.28
4,6,4.89
4,7,3.93
4,8,4.18
4,9,3.88
4,10,1.61
4,11,3.38
4,12,4.37
4,13,5.25
4,14,1.84
4,15,4.81
4,16,4.65
4,17,3.62
4,18,2.30
4,19,0.36
4,20,2.09
5,1,0.14
5,2,3.00
5,3,4.86
5,4,5.28
5,5,5.34
5,6,5.83
5,7,3.57
5,8,4.25
5,9,2.87
5,10,1.75
5,11,4.25
5,12,4.69
5,13,5.33
5,14,3.68
5,15,5.83
5,16,3.47
5,17,4.49
5,18,3.11
5,19,0.99
5,20,3.34
6,1,1.42
6,2,3.37
6,3,5.77
6,4,4.89
6,5,5.83
6,6,5.85
6,7,5.76
6,8,1.37
6,9,1.20
6,10,2.87
6,11,7.87
6,12,2.92
6,13,6.24
6,14,2.14
6,15,6.19
6,16,6.46
6,17,8.57
6,18,3.54
6,19,2.62
6,20,5.12
7,1,1.33
7,2,2.13
7,3,3.15
7,4,3.93
7,5,3.57
7,6,5.76
7,7,3.24
7,8,3.50
7,9,5.32
7,10,2.74
7,11,3.75
7,12,4.45
7,13,3.23
7,14,2.05
7,15,5.26
7,16,2.72
7,17,2.29
7,18,3.17
7,19,3.90
7,20,3.67
8,1,0.70
8,2,1.72
8,3,3.46
8,4,4.18
8,5,4.25
8,6,1.37
8,7,3.50
8,8,2.83
8,9,1.95
8,10,2.00
8,11,3.50
8,12,3.22
8,13,3.60
8,14,1.33
8,15,2.05
8,16,4.00
8,17,4.50
8,18,3.45
8,19,3.26
8,20,1.82
9,1,-0.89
9,2,1.71
9,3,3.12
9,4,3.88
9,5,2.87
9,6,1.20
9,7,5.32
9,8,1.95
9,9,1.65
9,10,2.60
9,11,3.17
9,12,3.22
9,13,3.20
9,14,2.51
9,15,4.54
9,16,2.30
9,17,5.75
9,18,2.68
9,19,0.08
9,20,2.88
10,1,-1.53
10,2,0.39
10,3,1.41
10,4,1.61
10,5,1.75
10,6,2.87
10,7,2.74
10,8,2.00
10,9,2.60
10,10,-0.09
10,11,1.33
10,12,1.42
10,13,1.00
10,14,2.48
10,15,2.30
10,16,0.80
10,17,2.82
10,18,1.77
10,19,2.94
10,20,1.91
11,1,-0.51
11,2,1.22
11,3,2.50
11,4,3.38
11,5,4.25
11,6,7.87
11,7,3.75
11,8,3.50
11,9,3.17
11,10,1.33
11,11,0.60
11,12,2.90
11,13,3.27
11,14,2.74
11,15,4.22
11,16,2.89
11,17,3.99
11,18,3.09
11,19,1.46
11,20,2.65
12,1,-0.41
12,2,2.57
12,3,4.20
12,4,4.37
12,5,4.69
12,6,2.92
12,7,4.45
12,8,3.22
12,9,3.22
12,10,1.42
12,11,2.90
12,12,3.74
12,13,4.91
12,14,2.89
12,15,3.95
12,16,3.21
12,17,4.18
12,18,1.36
12,19,1.93
12,20,2.83
13,1,0.77
13,2,2.84
13,3,4.59
13,4,5.25
13,5,5.33
13,6,6.24
13,7,3.23
13,8,3.60
13,9,3.20
13,10,1.00
13,11,3.27
13,12,4.91
13,13,3.89
13,14,1.76
13,15,5.61
13,16,3.38
13,17,3.80
13,18,1.59
13,19,2.30
13,20,3.05
14,1,-0.25
14,2,1.46
14,3,2.93
14,4,1.84
14,5,3.68
14,6,2.14
14,7,2.05
