id,micromolecule_id,fragment,fb_value,hydrophobicity,buried_fraction,solvent_hydrophobicity
51,1,–NH3+,-1.02800000,Hydrophilic,0.380,-14.200
50,1,-COO,-1.29000000,Hydrophilic,0.530,-9.300
49,1,-COOH,-0.95400000,Hydrophilic,0.530,-9.300
48,1,-CH2,0.53000000,Amphiphilic,0.770,-8.800
47,1,-NH2,-1.42800000,Hydrophilic,0.380,-14.200
1,2,-NH2,-1.42800000,Hydrophilic,0.380,-9.800
2,2,–NH3+,-1.02800000,Hydrophilic,0.380,-9.800
3,2,-COOH,-0.95400000,Hydrophilic,0.530,-7.300
4,2,-COO,-1.29000000,Hydrophilic,0.530,-7.300
5,2,-CH3,0.70400000,Hydrophobic,0.750,-13.500
66,3,-CH3,0.70400000,Hydrophobic,0.860,-24.900
72,3,–NH3+,-1.02800000,Hydrophilic,0.380,-9.800
71,3,-COO,-1.29000000,Hydrophilic,0.530,-7.300
70,3,-COOH,-0.95400000,Hydrophilic,0.530,-7.300
69,3,-NH2,-1.42800000,Hydrophilic,0.380,-9.800
68,3,-CH2,0.53000000,Hydrophobic,0.860,-24.900
67,3,-CH,0.24000000,Hydrophobic,0.860,-24.900
80,5,-CH2,0.53000000,Amphiphilic,0.770,-8.800
79,5,-C6H5(Ph),1.88600000,Hydrophobic,0.870,-24.400
84,5,–NH3+,-1.02800000,Hydrophilic,0.380,-9.800
83,5,-COO,-1.29000000,Hydrophilic,0.530,-7.300
82,5,-COOH,-0.95400000,Hydrophilic,0.530,-7.300
81,5,-NH2,-1.42800000,Hydrophilic,0.380,-9.800
109,6,–NH3+,-1.02800000,Hydrophilic,0.380,-9.800
105,6,-CH2,0.53000000,Amphiphilic,0.770,-8.700
104,6,Benzene:-C8H7N(Ph-NH-CH=C),2.62800000,Hydrophobic,0.830,-20.100
103,6,Pyrrole:-C8H7N(Ph-NH-CH=C),2.62800000,Hydrophobic,0.830,-14.100
106,6,-NH2,-1.42800000,Hydrophilic,0.380,-9.800
107,6,-COOH,-0.95400000,Hydrophilic,0.530,-7.300
108,6,-COO,-1.29000000,Hydrophilic,0.530,-7.300
74,7,-CH2,0.53000000,Hydrophilic,0.380,-19.400
73,7,-NH2,-1.42800000,Hydrophilic,0.380,-19.400
78,7,–NH3+,-1.02800000,Hydrophilic,0.380,-9.800
77,7,-COO,-1.29000000,Hydrophilic,0.530,-7.300
76,7,-COOH,-0.95400000,Hydrophilic,0.530,-7.300
